Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
Dr Ricky Lalthazuala,National Institute of Technology Mizoram,4,2,52,National Institute of Technology Mizoram,Renewable Energy Systems,Power Electronics
Dr. Rijo Jacob Thomas,"Assistant Professor, Department of Mechanical Engineering, TKM College of Engineering, Kollam,Kerala",12,16,547,TKM College of Engineering,Mechanical Engineering,Thermal Systems
RIJU.K. THOMAS,Mahtma Gandhi University,8,8,220,Mahatma Gandhi University,Nanotechnology,Materials Science
Riki Dutta,"PhD Scholar, Department of Physics, Cotton University",4,1,36,Cotton University,Condensed Matter Physics,Quantum Mechanics
Dr. Rinki Dahiya,"Assistant Professor,Organizational Behavior & Human Resource Management, IIM Sirmaur, India",13,16,404,IIM Sirmaur,Organizational Behavior,Human Resource Management
Rino Choi,"Professor of Materials Science and Eng., Inha University",52,167,8795,Inha University,Materials Science,Engineering
Ripon Patgiri,National Institute of Technology Silchar,22,39,1933,National Institute of Technology Silchar,Blockchain Technology,Internet of Things
Prof. Ripu Ranjan Sinha,"SS Jain Subodh PG College (Affiliated to the UOR, Jaipur & RTU, Kota",12,15,504,SS Jain Subodh PG College,Mathematics,Statistics
Ritam Pal,"PhD Student, Mechanical Engineering, Pennsylvania State University",7,6,197,Pennsylvania State University,Mechanical Engineering,Energy Systems
Dr. Ritanjali Majhi,Professor,18,29,1747,Professor,Artificial Intelligence,Data Science
Ritayan Mitra,"Associate Professor, IIT Bombay",12,13,568,IIT Bombay,Transportation Systems,Urban Mobility
RITESH KUMAR,Assistant Professor,41,99,8502,Indian Institute of Technology (IIT) Delhi,Wireless Communication,Signal Processing
Ritu Agarwal,Johns Hopkins Carey Business School,72,159,54491,Johns Hopkins Carey Business School,Health Information Technology,Digital Innovation in Healthcare
Ritu Sharma,"Assistant Professor, Psychology, University of Delhi, Delhi, India",53,262,16094,University of Delhi,Psychology,Mental Health
Dr. Ritu Srivastava,"CSIR- National Physical Laboratory New Delhi, India",34,115,4872,CSIR-National Physical Laboratory,Materials Science,Nanotechnology
Ritu vyas,Assistant professor,2,0,6,Assistant Professor,Data Science,Data Mining
Dr. Ritunesh Kumar,"Professor, IIT Indore",21,32,2468,IIT Indore,Materials Science,Nanotechnology
Dr Reyaz Ahmad Mir,"Assistant professor of Zoology,Islamia college of Science and Commerce",12,14,496,Islamia College of Science and Commerce,Zoology,Ecology
Annie C. Robin,Institut UTINAM,92,183,61633,Université de Franche-Comté,Astrophysics,Cosmology
Robin Davis P.,Assistant Professor of Civil Engineering National Institute of Technology Calicut,20,36,1247,National Institute of Technology Calicut,Civil Engineering,Structural Engineering
Rohan Dutta,"Anant School for Climate Action, Anant National University, Ahmedabad, Gujarat, India",10,11,346,Anant National University,Climate Change Mitigation,Sustainable Development
Sahil Singla,"Assistant Professor, School of Computer Science, Georgia Tech",24,34,1630,Georgia Institute of Technology,Algorithms,Theoretical Computer Science
Saibal Chatterjee,"Professor, NIT MIZORAM",19,37,1196,NIT Mizoram,Power Electronics,Renewable Energy Systems
Saibal Moitra,"Apollo Mutispeciality Hospitals, Kolkata",16,39,956,Apollo Multispeciality Hospitals,Kolkata,Oncology
"Saikat Dutta, FRSC","Professor, Electrochemical Energy & Sensor Research Lab, Amity University",42,63,9037,Amity University,Electrochemical Energy,Sensor Research
Dr. Saikat Kumar Jana,"National Institute of Technology, Arunachal Pradesh",22,25,1521,National Institute of Technology,Arunachal Pradesh,Renewable Energy Systems
Saikat Ray Majumder,GE Research,26,30,3971,GE Research,Materials Science,Additive Manufacturing
Saikat Mukhopadhyay,"Associate Professor of Cell Biology, UT Southwestern",24,37,4091,UT Southwestern,Cell Biology,Membrane Trafficking
P. K. Sajith,"Department of Chemistry, Farook College",16,17,681,University of Calicut,Organic Chemistry,Environmental Chemistry
Saleel Ismail,NIT Calicut,13,17,647,NIT Calicut,Signal Processing,Communication Systems
Prof khaled J Saleh MD,saleh Medical Innovations Consulting,67,197,15618,Saleh Medical Innovations Consulting,Orthopedic Surgery,Medical Device Innovation
Riad Salem,"Professor of Radiology, Medicine and Surgery Northwestern University",111,336,41750,Northwestern University,Interventional Radiology,Hepatocellular Carcinoma
Sally McManus,"City St George’s, University of London",69,142,26519,St George's,University of London,Mental Health
S K Samdarshi,"Department of Energy Engineering, Central University of Jharkhand, Ranchi, Jharkhand(India)",31,51,2747,Central University of Jharkhand,Renewable Energy,Energy Efficiency
Awni Abu-Saman,"Professor of Applied Mathematics,  Al Azhar University Gaza",4,1,48,Al Azhar University Gaza,Applied Mathematics,Computational Mathematics
Samanwita Pal,"Associate Professor, Department of Chemistry, IIT Jodhpur",7,6,236,Indian Institute of Technology Jodhpur,Supramolecular Chemistry,Organic Materials
Spyridon N Mylonas,"Deaprtment of Vascular Endovascular Surgery, University Hospital of Cologne",26,39,2766,University Hospital of Cologne,Vascular Surgery,Endovascular Surgery
sameer sharma,"Associate Professor of Mathematics, D. A. V. College, Jalandhar, Punjab, India",40,153,8775,D. A. V. College,Mathematics,Applied Mathematics
Samir B. Amin,"Associate Research Scientist, Dept. of Neurosurgery, Yale School of Medicine",31,39,18366,Yale University,Neurosurgery,Neuroscience
Samir Kumar Biswas,"Postdoc at Biomedical Photonic Imaging, University of Twente",13,16,647,University of Twente,Biomedical Photonic Imaging,Optical Imaging Techniques
Samir Kumar Pal,"Senior Professor, S N Bose national centre for Basic Sciences",62,267,16122,S N Bose National Centre for Basic Sciences,Biophysics,Nanotechnology
Samiran Ray,Paediatric Intensive Care Consultant,23,43,2839,Apollo Hospitals,Paediatric Critical Care,Sepsis Management
Sampak Samanta,"Professor of Chemistry, IIT Indore",34,73,3461,IIT Indore,Organic Chemistry,Supramolecular Chemistry
Dr. Samrat Paul,"Department of Energy Engineering, North Eastern Hill University, Shillong",15,15,1264,North Eastern Hill University,Energy Engineering,Renewable Energy Systems
Samrat Rao,"Assistant Professor, Mechanical Engineering, Indian Institute of Technology Jammu",6,5,145,Indian Institute of Technology Jammu,Mechanical Engineering,Thermal Systems
SAMRAT GHOSH,Research Scholar of University of Kalyani,51,251,11366,University of Kalyani,Environmental Science,Climate Change
Smriti Sharma,Newcastle University,16,16,947,Newcastle University,Environmental Sustainability,Urban Planning
Samya Kumar Ray,IISER Thiruvananthapuram,5,1,64,IISER Thiruvananthapuram,Condensed Matter Physics,Quantum Materials
Sandeep C. Pingle,Sciberomics Consulting,30,39,3442,Sciberomics Consulting,Behavioral Economics,Decision Sciences
Sandip Chattopadhyay,U.S. Department of Homeland Security,29,85,3035,U.S. Department of Homeland Security,Cybersecurity,Critical Infrastructure Protection
Sandeep Chaudhary,IIT Indore,37,85,5171,IIT Indore,Materials Science,Nanotechnology
Dr. Sandip Patil,"Scientist-E, Shenzhen Children Hospital, Shenzhen, China",32,78,3706,Shenzhen Children Hospital,Pediatric Medicine,Genetic Disorders
Sandeep Sankineni,Mid-Atlantic Permanente Medical Group,22,28,1983,Mid-Atlantic Permanente Medical Group,Healthcare Innovation,Patient Outcomes Optimization
Sandeep Kumar,Ministry of Labour and Employment,128,1312,85072,Ministry of Labour and Employment,Labour Economics,Employment Policy
Dr. Sandeep Kumar Dash,"Department of Physiology, University of Gour Banga, Malda",33,54,3626,University of Gour Banga,Physiology,Human Health
Sandeep Kumar Jha,"Professor, Centre for Biomedical Engineering, Indian Institute of Technology Delhi, India",25,39,2501,Indian Institute of Technology Delhi,Biomedical Engineering,Medical Imaging
Dr. Sandeep Kumar Reddy,Indian Institute of Technology Kharagpur,17,23,1395,Indian Institute of Technology Kharagpur,Power Systems,Renewable Energy Integration
Sandeep Kumar,"Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College of Pharmacy, BELA",55,438,20034,Punjab Technical University,Pharmaceutical Sciences,Drug Delivery Systems
Sandip Kanse,"Professor of Biochemistry, Faculty of Medicine, University of Oslo.",55,128,8512,University of Oslo,Biochemistry,Medicine
Sandeep Goyal [M. S. (Pharm.)],Ph. D. Scholar at NIPER Mohali,31,84,3470,NIPER Mohali,Pharmaceutical Sciences,Drug Delivery Systems
Sandeep Saini,"Assistant Professor, ECE, The LNM Institute of Information Technology, Jaipur",16,19,720,The LNM Institute of Information Technology,Signal Processing,Communication Systems
Sandeep Singh,Msc scholar,86,881,40126,[University/Company not specified],[Research Interest 1 not specified],[Research Interest 2 not specified]
Sandeep K. Singhal,"Senior Director of Storage, Meta",58,110,13462,Meta,Storage Systems,Distributed Systems
Sandeep Kolluri,"Principal RD&D Product Engineer, Maxeon Solar Technologies",11,12,426,Maxeon Solar Technologies,Solar Energy,Photovoltaic Technology
Sandeep Kumar,Lala Lajpat Rai University of Veterinary and Animal Science,58,484,20072,Lala Lajpat Rai University of Veterinary and Animal Science,Animal Nutrition,Veterinary Microbiology
Sandip Maji,"Ph.D., IIT GUWAHATI",4,2,43,IIT Guwahati,Fluid Mechanics,Heat Transfer
Sandip Mandal,Avenir Health/ John Snow India Private Ltd/ Indian Institute of Technology- Bombay,17,27,1804,Avenir Health,Public Health,Health Systems Strengthening
Sandipan Das,"Symbiosis Institute of Geoinformatics (SIG), Symbiosis International University",13,13,624,Symbiosis International University,Geoinformatics,Remote Sensing
Sangita Roy,"Scientist E, Institute of Nano Science and Technology",32,48,3295,Institute of Nano Science and Technology,Nanotechnology,Materials Science
Sangeeta N. Bhatia,"Professor, Massachusetts Institute of Technology",128,299,65483,Massachusetts Institute of Technology,Biomedical Engineering,Tissue Engineering
Sangeeta Sahoo; Email: sahoos@nplindia.org,"CSIR-National Physical Laboratory, New Delhi, India",17,25,2307,CSIR-National Physical Laboratory,Materials Science,Nanotechnology
sangeeta sharma,Shaheed bhagat singh state technical campus ferozepur,24,72,3503,Shaheed Bhagat Singh State Technical Campus Ferozepur,Renewable Energy,Power Systems
sangeetha supriya K,"research scholar ,christ university",15,24,756,Christ University,Education,Social Sciences
V Sangeetha,"Scientist of Agricultural Extension, Indian Agricultural Research Institute",12,17,652,Indian Agricultural Research Institute,Agricultural Extension,Rural Development
Sangram Ray,"Associate Professor, Dept. of Computer Sc. & Engg, National Institute of Technology Sikkim, India",19,29,1198,National Institute of Technology Sikkim,Cryptography,Network Security
Sanjay Padhi,"AWS, Brown University, CERN, UCSD",216,795,230760,AWS,High Energy Physics,Cloud Computing
Sanjay Gupta,Case Western Reserve University,91,307,33715,Case Western Reserve University,Biomedical Engineering,Neural Engineering
Sanjay Kajal,"Assistant Professor, U.I.E.T., KUK",12,12,262,Kurukshetra University,Wireless Communication,Signal Processing
Sanjay Kumar Swain,NISER,212,1249,213531,NISER,Condensed Matter Physics,Quantum Materials
sanjay kumar sharma,Dr C V RAMAN UNIVERSITY,43,276,9656,Dr C V Raman University,Environmental Science,Renewable Energy
Sanjay Kumar,Chaudhary Charan Singh Haryana Agricultural University Hisar,56,532,19755,Chaudhary Charan Singh Haryana Agricultural University,Agricultural Sciences,Crop Improvement
Sanjay Kumar Verma,Professor at BITS Pilani,19,26,1009,BITS Pilani,Operations Research,Supply Chain Management
Sanjay Marwah,Professor of Surgery PGIMS Rohtak,31,56,6503,PGIMS Rohtak,Surgery,Medical Education
Sanjay Singh,Assistant Professor,115,1162,65406,Indian Institute of Technology (BHU) Varanasi,Power Electronics,Renewable Energy Systems
Sanjay Vikrant,"Indira Gandhi Medical College, Shimla (Himachal Pradesh)-India 171001",18,36,1158,Indira Gandhi Medical College,Shimla,Public Health
Dr.Sanjeet Kumar,"Head, krishi Vigyan kendra, Amihit, Jaunpur-2",54,495,17760,Narendra Deva University of Agriculture and Technology,Agricultural Extension,Crop Management
prof. sanjeev ahuja,Thapar Institute of Engineering & Technology,11,15,413,Thapar Institute of Engineering & Technology,Wireless Communication,Signal Processing
Dr.Sanjeev Misra,AIIMS Jodhpur,69,262,29030,AIIMS Jodhpur,Cancer Biology,Surgical Oncology
Dr  Sanjeev Tandon,"I.T.S, Mohan Nagar, Ghaziabad",2,1,37,I.T.S,Mohan Nagar,Ghaziabad
SANJEEV SHUKLA,University of Florida,42,59,7511,University of Florida,Computer Science,Data Mining
Sanjiv Singh,"Research Professor, Carnegie Mellon University",74,231,27190,Carnegie Mellon University,Robotics,Autonomous Systems
Sanjeev Sinha,Professor of Medicine,43,144,9598,University of California,San Francisco,Cardiovascular Diseases
Sanjib Kumar Das,"Computer Science & Engineering Student, University Institute of Technology",15,26,1540,University Institute of Technology,Computer Science & Engineering,Data Mining
Sanjit Konar,IISER Bhopal,48,134,6918,IISER Bhopal,Coordination Chemistry,Molecular Magnetism
"Dr. Sanjoy Debbarma, SMIEEE","Ph.D, Electrical Engineering, Associate Professor, NIT Meghalaya",17,25,1682,NIT Meghalaya,Power Systems,Renewable Energy
Ujjal Poddar,"Professor, Dept of Pediatric Gastroenterology, Sanjay Gandhi Post Graduate Institute of Medical Sci",40,104,4854,Sanjay Gandhi Post Graduate Institute of Medical Sciences,Pediatric Gastroenterology,Liver Diseases in Children
Sanjoy Roy,"Senior Director, Robotics & Digital Solutions HEMA Lead, Johnson & Johnson",25,61,2512,Johnson & Johnson,Robotics,Digital Solutions
Sanju Rani,SRMIST,13,15,1274,SRMIST,Wireless Communication,Signal Processing
Sanjukta Dutta,Ph.D MNNIT Allahabad,1,1,13,MNNIT Allahabad,Power Systems,Renewable Energy Integration
Sankar Das Sarma,University of Maryland,150,882,121855,University of Maryland,Condensed Matter Physics,Quantum Computing
Prof. Sankar Kumar Nath,"Professor of  Geology & Geophysics, Indian Institute of Technology Kharagpur",36,81,4103,Indian Institute of Technology Kharagpur,Geology,Geophysics
Dr. Santanu Ghorai,"Professor, Department of AEIE, Heritage Institute of Technology, Kolkata, India",12,13,945,Heritage Institute of Technology,Signal Processing,Control Systems
Dr. Santanu Maity,"Indian Institute of Engineering Science and Technology (IIEST), Shibpur",19,48,1287,Indian Institute of Engineering Science and Technology (IIEST),Shibpur,Power Systems
Dr. Santanu Manna,"Asst. Prof. IIT Delhi (present); JKU Linz, Austria; CQD Northwestern, USA; UniTrento, Italy, IITKGP",22,34,1862,IIT Delhi,Quantum Computing,Condensed Matter Physics
Samantha Parsley (formerly Warren),University of Portsmouth,26,44,3802,University of Portsmouth,Environmental Science,Climate Change
Santhakumar Mohan,"Professor, Mechanical Engineering, Indian Institute of Technology Palakkad",23,49,1934,Indian Institute of Technology Palakkad,Mechanical Engineering,Renewable Energy Systems
M. V. Santha Kumar,"Department of Zoology, Shivaji University, Kolhapur",17,37,3619,Shivaji University,Zoology,Environmental Biology
Keerthi Santhosh Kumar,Research Scholar,33,119,5411,Research Scholar,Artificial Intelligence,Data Science
Santosh Kumar,Assistant Professor in Special Education.,131,1704,93717,University of Delhi,Inclusive Education,Learning Disabilities
Dr. Santhosh Kumar PK,"Assistant professor, KSRDPR University",108,853,56565,KSRDPR University,Data Science,Artificial Intelligence
Santhosh kumar.p,"Student  B.pharma,oxbridge collage of pharmacy.",46,222,18987,Oxbridge College of Pharmacy,Pharmaceutical Sciences,Drug Development
Santosh G Thampi,"Professor (HAG) in Civil Engineering, NIT Calicut",19,34,1146,National Institute of Technology Calicut,Structural Engineering,Geotechnical Engineering
Santosh Kumar Mahapatra,Gauahti University,2,0,15,Gauhati University,Environmental Science,Climate Change
Santosh K. Sahu,"Professor, Department of Mechanical Engineering, Indian Institute of Technology Indore",38,133,4769,Indian Institute of Technology Indore,Mechanical Engineering,Thermal Engineering
Santu Sarkar,Wake Forest University School of Medicine,12,13,598,Wake Forest University School of Medicine,Cancer Biology,Epigenetics
Sanyog Rawat,Central University of Rajasthan,18,31,931,Central University of Rajasthan,Environmental Chemistry,Nanomaterials
Sapna Sharma,York University,47,89,9698,York University,Climate Change,Freshwater Ecology
Saptarshi Chatterjee,"Associate Professor (Microbiology) & Associate Director: Incubation, ADAMAS University",11,13,607,ADAMAS University,Microbiology,Incubation and Innovation
Saptarshi Ghosh,"Department of CSE, Indian Institute of Technology Kharagpur, India",43,103,6237,Indian Institute of Technology Kharagpur,Social Network Analysis,Data Mining
Saptarshi Mukherjee,Indian Institute of Science Education and Research Bhopal,34,82,3634,Indian Institute of Science Education and Research Bhopal,Biophysics,Spectroscopy
Dr. Ing. Saptarshi Sasmal,"Chief Scientist, CSIR-Structural Engineering Research Centre (CSIR-SERC)",35,79,3382,CSIR-Structural Engineering Research Centre (CSIR-SERC),Structural Health Monitoring,Advanced Materials for Construction
Saptarshi Sengupta,"Assistant Professor of Computer Science, San Jose State University",12,14,1377,San Jose State University,Cybersecurity,Data Privacy
Sarabjeet Singh,"Assistant Professor of Radiology, Harvard Medical School",54,240,14213,Harvard Medical School,Radiology,Medical Imaging
Dr. Sharada L. Deore,"Govt. college of Pharmacy, Amravati-444604, Maharashtra",27,43,2634,Govt. College of Pharmacy,Amravati,Pharmaceutical Sciences
Sarada Ravi,Chief Scientist,50,100,10894,Chief Scientist,Artificial Intelligence,Data Science
Dr. Sarama Saha AIIMS,"Additional Professor, AIIMS Rishikesh",17,27,868,AIIMS Rishikesh,Medical Research,Public Health
Saraswati Setia,Professor Dept. of Civil Engineering National Institute of Technology Kurukshetra,6,3,188,National Institute of Technology Kurukshetra,Civil Engineering,Structural Engineering
Sarat Kumar Patra,"Director, NIT Agartala, Professor (On-deputation from ECE, NIT Rourkela) India",23,66,2194,NIT Agartala,Wireless Communication,Signal Processing
Professor Sarath Kodagoda,"University of Technology, Sydney",33,104,6158,University of Technology Sydney,Robotics,Sensor Systems
Sarika Jalan,"Complex Systems Lab, IIT Indore",31,82,3137,Indian Institute of Technology Indore,Complex Networks,Systems Biology
Sarit S. Agasti,Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR),32,49,9899,Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR),Nanomaterials,Chemical Biology
Sarita Gupta,"Professor of Biochemistry, Faculty of Science, The M.S. University of Baroda",40,123,7264,The M.S. University of Baroda,Biochemistry,Molecular Biology
Sarita Agarwal,Sanjay Gandhi Postgraduate Institute of Medical Sciences,60,331,21038,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Immunology,Infectious Diseases
Buyung Sarita,"Faculty Economi and Business, Universitas Halu Oleo",10,10,484,Universitas Halu Oleo,Economics,Business Management
Sarita Choudhury,"Indian Institute of Technology (Indian School of Mines), Dhanbad",6,4,86,Indian Institute of Technology (Indian School of Mines),Dhanbad,Environmental Engineering
Shashwat Sarkar,"Researcher, CVPR-Unit, ISI Kolkata, India",0,0,0,Indian Statistical Institute,Kolkata,Computer Vision
Dr. Saroj  Kumar Singh,"B.N.Mandal University, Madhepura, Bihar, India",45,277,11477,B.N.Mandal University,Environmental Science,Agricultural Economics
Dr. Saroj Hiranwal,"Victorian Institute of Technology, Australia",7,3,206,Victorian Institute of Technology,Data Science,Artificial Intelligence
Saroj Shukla,University of Delhi,30,57,2627,University of Delhi,Environmental Studies,Sustainable Development
Dr. SARVESH KUMAR V. ATAL,NIMS,49,238,12108,NIMS University,Pharmacology,Drug Delivery Systems
Saswata Bhattacharya,"Associate Professor, Department of Physics, Indian Institute of Technology Delhi, Hauz Khas",34,76,3657,Indian Institute of Technology Delhi,Condensed Matter Physics,Quantum Materials
Saswata Chakraborty,Digilens,9,8,774,Digilens,Augmented Reality,Holographic Displays
Saswati Das,"Research Scholar, Indian Institute of Technology Guwahati",3,1,22,Indian Institute of Technology Guwahati,Wireless Communication,Signal Processing
Dr.M.Sathish Kumar,"Asst. Prof., Dept. of Computer Science, Sourashtra College,Madurai Kamaraj University",39,202,8161,Madurai Kamaraj University,Computer Science,Data Science
"Satish Kumar, Ph.D.","Professor, Indian Institute of Management Nagpur (IIM N)",80,234,35078,Indian Institute of Management Nagpur (IIM N),Marketing,Consumer Behavior
Satinder Singh,Google DeepMind / U. of Michigan,83,216,47578,Google DeepMind,Reinforcement Learning,Artificial Intelligence
"Satish Kumar Dubey, Ph. D","Associate Professor, Mechanical Engineering, BITS Pilani, Hyderabad",22,43,1336,BITS Pilani,Mechanical Engineering,Thermal Systems
T. K. Satish Kumar,University of Southern California,45,199,10893,University of Southern California,Artificial Intelligence,Operations Research
Satvinder Singh Dhaliwal,"Emeritus Professor, Faculty of Health Sciences, Curtin University, Australia",59,168,12122,Curtin University,Public Health,Health Policy
Satya Prakash,Invertis University Bareilly,109,274,37793,Invertis University Bareilly,Computer Science,Data Analytics
Satyaprakash Sahoo,"Asso. Prof., Institute of Physics Bhubaneswar & Homi Bhabha National Institute (HBNI), Mumbai, INDIA",30,69,3971,Institute of Physics Bhubaneswar,Condensed Matter Physics,Quantum Materials
SATYA PRAKASH YADAV,"Madan Mohan Malaviya University of Technology, Gorakhpur",26,30,2085,Madan Mohan Malaviya University of Technology,Renewable Energy Systems,Power Electronics
Satya S Bulusu,Indian Institute of Technology Indore,26,31,3267,Indian Institute of Technology Indore,Computational Chemistry,Molecular Dynamics
Satyajit Sahu,"Associate Professor, Indian Institute of Technology Jodhpur",25,52,2578,Indian Institute of Technology Jodhpur,Materials Science,Nanotechnology
Satyajit Mondal,"Assistant Professor, ICFAI University Tripura",15,19,855,ICFAI University Tripura,Mathematics,Statistics
Dr. SATYAJIT R. PATIL,"Associate  Professor, Automobile Engg. Dept., Rajarambapu Inst. of Technology, Sakharale",9,9,428,Rajarambapu Institute of Technology,Automotive Engineering,Vehicle Dynamics
Satyajit Sahu,"Associate Professor, Indian Institute of Technology Jodhpur",25,52,2578,Indian Institute of Technology Jodhpur,Quantum Computing,Condensed Matter Physics
"Satyaki Ganguly, Ph.D.","GaN Chief Technology Lead (Research Science), HRL Laboratories, LLC",16,21,981,HRL Laboratories,LLC,Gallium Nitride (GaN) Technology
Dr. Satyam Suwas,"Professor of Materials Engineering, Indian Institute of Science, Bangalore",65,312,15875,Indian Institute of Science,Materials Engineering,Microstructure Evolution
Satyanand Singh,Student-Ancient indian history culture & Archeology,36,142,7048,Banaras Hindu University,Ancient Indian History,Archeology
Satyananda Champati Rai,"Associate Professor, School of Computer Engineering, KIIT Deemed to be University, Bhubaneswar",8,7,218,KIIT Deemed to be University,Artificial Intelligence,Data Mining
Dr. Satyanarayan Panigrahi,"Radiological and Environmental Safety Division, IGCAR, Dept of Atomic Energy, Govt. of India",22,37,1965,Indira Gandhi Centre for Atomic Research (IGCAR),Radiological Safety,Environmental Safety
Saumi Ray,"Professor of Chemistry, Birla Institute of Technology and Science",11,11,333,Birla Institute of Technology and Science,Chemistry,Materials Science
Saumya Agarwal,"University of Illinois, Urbana- Champaign",4,2,129,University of Illinois Urbana-Champaign,Data Science,Human-Computer Interaction
Saumya Bajpai,"Assistant Professor, School of Mathematics and Computer Science, IIT Goa",8,7,163,Indian Institute of Technology Goa,Algorithms,Computational Geometry
Soumya Raychaudhuri,"Harvard Medical School; Brigham and Women's Hospital, Broad Institute",122,266,89634,Harvard Medical School,Genetics,Immunology
Saumyakanta Khatua,Electronics and Telecommunication Engineer,3,1,44,Indian Institute of Technology Kharagpur,Signal Processing,Wireless Communication
Soumya Kanti Datta,Digiotouch,34,69,4695,Digiotouch,Internet of Things,Smart Cities
Saumyakanti Khatua,Associate professor at IIT-Gandhinagar,23,32,2534,IIT Gandhinagar,Nanophotonics,Single-Molecule Spectroscopy
Saumyaranjan Sahoo,Indian Institute of Management Sambalpur,25,34,2974,Indian Institute of Management Sambalpur,Operations Management,Supply Chain Management
Saurabh Bhargava,"Associate Professor of Economics, Carnegie Mellon University",11,12,2443,Carnegie Mellon University,Behavioral Economics,Public Policy
Saurabh Maheshwari,Assistant Professor of Computer Engineering in Govt. Women Engineering College Ajmer,12,16,868,Govt. Women Engineering College Ajmer,Computer Engineering,Artificial Intelligence
Saurabh Niyogi,"Assistant Professor of Physics at Gokhale Memorial Girls' College College, Calcutta University",12,13,686,University of Calcutta,Condensed Matter Physics,Material Science
Saurabh Srivastava,"Malviya National Institute of Technology (M.N.I.T.), Jaipur",8,7,163,Malviya National Institute of Technology (M.N.I.T.),Jaipur,Renewable Energy Systems
Sourav Das,university of Wisconsin madison,75,433,26923,University of Wisconsin-Madison,Condensed Matter Physics,Quantum Materials
Saurav Ch. Sarma,"Research Scientist, Johnson Matthey Technology Centre, UK",21,33,1342,Johnson Matthey Technology Centre,Catalysis,Sustainable Chemistry
saurav suman,"Assistant Professor, NIT Mizoram",9,8,208,NIT Mizoram,Power Systems,Renewable Energy
Sayam Sen Gupta,IISER Kolkata,39,74,4865,IISER Kolkata,Inorganic Chemistry,Catalysis
Sayan Ranu,IIT Delhi,27,52,2836,IIT Delhi,Data Science,Network Algorithms
Sayan Basu Roy,"Assistant Professor, ECE, IIIT Delhi",14,21,999,IIIT Delhi,Wireless Communication,Signal Processing
SAYANTAN DHAR,"Robert Bosch, India",10,10,686,Robert Bosch,Data Science,Artificial Intelligence
Dr. Sayantan Ray,Biocon Ltd (Biocon Pharma Ltd),9,9,367,Biocon Ltd,Biopharmaceuticals,Drug Development
Syed Muhammad Salman Shah,Khyber Medical University,39,125,7124,Khyber Medical University,Public Health,Epidemiology
Seema Bahinipati,Indian Institute of Technology Bhubaneswar,196,1040,176023,Indian Institute of Technology Bhubaneswar,Materials Science,Nanotechnology
Seema Bahinipati,Indian Institute of Technology Bhubaneswar,196,1040,176023,Indian Institute of Technology Bhubaneswar,High Energy Physics,Particle Physics
DR ADITI SINGH,Assoc Prof Seema Dental College and Hospital Rishikesh,28,104,3864,Assoc Prof Seema Dental College and Hospital Rishikesh,Dentistry,Oral Health
Seema Sharma -KVK Pathankot,"Assistant Professor (Soil Science), KVK, Pathankot",30,104,4727,Punjab Agricultural University,Soil Fertility,Sustainable Agriculture
Senthilkumar Balakrishnan,Tamil Nadu State Council for Science  and Technology,36,70,27580,Tamil Nadu State Council for Science and Technology,Environmental Science,Renewable Energy
Dr. P. Senthil kumar,"Professor of Mathematics, Dr. N.G.P. Institute of Technology",60,486,19707,Dr. N.G.P. Institute of Technology,Mathematics,Applied Mathematics
Shabina Khanam,Indian Institute of Technology Roorkee,19,26,1147,Indian Institute of Technology Roorkee,Environmental Engineering,Water Resources Management
"Shadab Alam (Ph.D., SMIEEE)","Associate Professor, Department of Computer Science, Jazan University, Saudi Arabia",31,57,2473,Jazan University,Artificial Intelligence,Data Mining
Shadab Fatima Hussain,National Institutes of Health - National Cancer Institute,6,4,96,National Institutes of Health - National Cancer Institute,Cancer Biology,Molecular Oncology
Shahbaz Ahmad,Batchlor of Data Science,42,244,8936,University of the Punjab,Data Analytics,Artificial Intelligence
susan salim,student of shahid beheshti university,15,16,925,Shahid Beheshti University,Environmental Science,Sustainable Development
Shaijumon M M,"Professor, Indian Institute of Science Education & Research (IISER) Thiruvananthapuram",48,84,10629,Indian Institute of Science Education & Research (IISER) Thiruvananthapuram,Condensed Matter Physics,Quantum Materials
Dr Abdul Munaf Shaik,Associate Professor,7,5,200,Associate Professor,Artificial Intelligence,Data Science
Shaik Affijulla,National Institute of Technology Meghalaya,10,11,382,National Institute of Technology Meghalaya,Wireless Communication,Signal Processing
Sheikh Jakir Hossain,Storlytics Energy Storage,10,10,324,Storlytics Energy Storage,Energy Storage Systems,Battery Technologies
Dr J. Madhuri Shailaja,andhra university,6,6,133,Andhra University,Environmental Chemistry,Analytical Chemistry
Shailesh Kumar Jha,Ph. D. Scholar at Indian Institute of Technology Mandi,0,0,0,Indian Institute of Technology Mandi,Renewable Energy Systems,Power Electronics
Shakeel Ahmad Sheikh,"IDIAP Research Institute, EPFL, Switzerland",9,8,324,EPFL,Speech Processing,Machine Learning
"Syed Shakil-ur-Rehman, PhD PT","Professor of Physical Therapy, Riphah International University, Islamabad, Pakistan",18,23,786,Riphah International University,Physical Therapy,Rehabilitation Sciences
B Shalini Reghunath PhD,Researcher,11,11,490,Researcher,Environmental Science,Sustainable Development
